iter	Logloss
0	0.5585788974
1	0.4638664919
2	0.3941468043
3	0.3414661213
4	0.3010442315
5	0.2696790251
6	0.2451663402
7	0.2259715243
8	0.2108984031
9	0.1990781566
10	0.1898075745
11	0.1825611369
12	0.1769884332
13	0.1725877193
14	0.1692116475
15	0.1666502751
16	0.1646548087
17	0.163193189
18	0.162056912
19	0.1611955561
20	0.1605747862
21	0.1600527191
22	0.1596590327
23	0.1594372791
24	0.1592079759
25	0.1590313868
26	0.1589096621
27	0.158827999
28	0.1587374795
29	0.1586502574
30	0.1585917021
31	0.1585294708
32	0.1584980488
33	0.1584697576
34	0.1584376149
35	0.1583954084
36	0.1583554021
37	0.1583358365
38	0.1583034265
39	0.1582806174
40	0.1582610623
41	0.1582327066
42	0.1582138739
43	0.1581953408
44	0.1581534051
45	0.1581118245
46	0.1580918491
47	0.158079686
48	0.1580529429
49	0.1580394258
50	0.1580047675
51	0.1579703673
52	0.1579209976
53	0.1578872407
54	0.157862113
55	0.1578385276
56	0.1578205173
57	0.157790944
58	0.1577655205
59	0.1577516118
60	0.1577241772
61	0.1576914642
62	0.1576582842
63	0.1576341366
64	0.1576006674
65	0.1575877714
66	0.1575782206
67	0.1575668254
68	0.1575233886
69	0.1575084458
70	0.1574913314
71	0.1574797261
72	0.1574672121
73	0.1574446603
74	0.157424897
75	0.1573926695
76	0.1573835074
77	0.1573560661
78	0.1573404285
79	0.1573173654
80	0.1572943697
81	0.1572704112
82	0.1572621472
83	0.1572380131
84	0.1572236972
85	0.1571813993
86	0.1571566203
87	0.1571423758
88	0.1571322041
89	0.1571039921
90	0.1570901291
91	0.1570661727
92	0.1570307563
93	0.1570089436
94	0.1569904294
95	0.1569645475
96	0.1569439405
97	0.1569172566
98	0.1569068043
99	0.1568929597
100	0.156886418
101	0.1568683094
102	0.1568528765
103	0.1568373125
104	0.1568186649
105	0.1567738388
106	0.1567549549
107	0.156722087
108	0.1567022032
109	0.1566796018
110	0.1566439706
111	0.1566210484
112	0.1566155607
113	0.1565890911
114	0.1565668508
115	0.1565530786
116	0.1565295719
117	0.1565110802
118	0.1565005769
119	0.1564879225
120	0.156448141
121	0.1564195552
122	0.1564053025
123	0.1563901741
124	0.1563759383
