iter	Passed	Remaining
0	14	1844
1	30	1862
2	43	1767
3	55	1687
4	69	1657
5	79	1579
6	92	1552
7	104	1527
8	115	1488
9	128	1483
10	142	1475
11	153	1444
12	163	1410
13	175	1391
14	188	1379
15	200	1363
16	210	1339
17	222	1319
18	233	1301
19	244	1281
20	254	1259
21	268	1255
22	282	1251
23	293	1233
24	307	1228
25	321	1223
26	333	1209
27	344	1193
28	358	1185
29	370	1173
30	381	1157
31	394	1147
32	406	1134
33	417	1116
34	430	1107
35	440	1089
36	451	1073
37	461	1055
38	470	1036
39	479	1019
40	489	1003
41	498	985
42	510	972
43	519	955
44	527	938
45	535	919
46	547	908
47	557	894
48	566	878
49	577	866
50	587	851
51	597	838
52	606	823
53	617	812
54	625	796
55	636	784
56	646	771
57	657	759
58	667	746
59	678	734
60	689	722
61	702	713
62	712	701
63	724	690
64	733	677
65	744	665
66	757	655
67	767	643
68	775	629
69	786	618
70	799	608
71	810	596
72	821	585
73	832	573
74	843	562
75	853	550
76	864	538
77	875	527
78	886	516
79	899	506
80	909	494
81	920	482
82	932	472
83	942	460
84	955	449
85	966	438
86	975	426
87	986	414
88	999	404
89	1011	393
90	1022	382
91	1033	370
92	1045	359
93	1056	348
94	1066	336
95	1078	325
96	1089	314
97	1099	302
98	1110	291
99	1121	280
100	1133	269
101	1143	257
102	1153	246
103	1164	235
104	1175	223
105	1187	212
106	1198	201
107	1208	190
108	1221	179
109	1231	167
110	1241	156
111	1252	145
112	1264	134
113	1276	123
114	1286	111
115	1297	100
116	1307	89
117	1318	78
118	1329	67
119	1340	55
120	1350	44
121	1359	33
122	1369	22
123	1380	11
124	1393	0
